The number of Constituents of vertex 0: is 56
    GenPart 30 pt: 1.94609, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 31 pt: 0.209384, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 32 pt: 3.10881, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 33 pt: 1.78507, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 34 pt: 0.539168, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 35 pt: 0.544729, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 36 pt: 1.77348, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 37 pt: 0.162433, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 38 pt: 0.473377, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 39 pt: 1.14946, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 40 pt: 0.713572, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 41 pt: 3.02125, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 42 pt: 0.365871, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 43 pt: 2.18176, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 44 pt: 3.38888, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 45 pt: 2.37836, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 46 pt: 0.393068, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 47 pt: 0.666637, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 48 pt: 0.1954, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 49 pt: 0.32852, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 50 pt: 0.135048, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 51 pt: 0.522002, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 52 pt: 0.206591, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 53 pt: 0.635953, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 54 pt: 0.358581, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 55 pt: 0.337761, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 56 pt: 0.241075, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 57 pt: 0.919016, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 58 pt: 0.539408, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 59 pt: 0.208317, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 60 pt: 0.633839, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 61 pt: 0.429255, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 62 pt: 0.489838, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 63 pt: 0.558927, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 64 pt: 0.909164, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 65 pt: 0.281888, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 66 pt: 0.117328, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 67 pt: 0.293489, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 68 pt: 0.631848, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 69 pt: 0.227254, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 70 pt: 0.48705, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 71 pt: 0.560136, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 72 pt: 0.316135, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 73 pt: 0.0528861, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 74 pt: 0.296149, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 75 pt: 0.191403, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 76 pt: 0.408464, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 77 pt: 2.41996, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 78 pt: 0.534622, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 79 pt: 0.119209, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 80 pt: 0.739496, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 81 pt: 0.183349, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 82 pt: 0.477607, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 83 pt: 0.428792, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 84 pt: 0.586938, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 85 pt: 0.0779198, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 86 pt: 0.343711, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 87 pt: 0.625182, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 88 pt: 0.112222, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 89 pt: 1.541, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 90 pt: 2.56761, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 91 pt: 0.823828, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 92 pt: 0.337919, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 93 pt: 1.60869, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 94 pt: 0.335055, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 95 pt: 0.494416, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 96 pt: 1.22491, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 97 pt: 0.104257, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 98 pt: 0.915773, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 99 pt: 1.99585, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 100 pt: 1.03851, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 101 pt: 1.12437, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 102 pt: 0.830955, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
